#Key=fname,lname,Position,Skin
Beau,Benzschawel,G,Skin1
Beau,Brinkley,TE,Skin1
Ben,Braden,G,Skin1
Ben,Braunecker,TE,Skin1
Ben,Bredeson,G,Skin17
Ben,Burr-Kirven,MLB,Skin1
Ben,Garland,C,Skin1
Ben,Garland,G,Skin1
Ben,Gedeon,OLB,Skin1
Ben,Heeney,MLB,Skin1
Ben,Jacobs,OLB,Skin1
Ben,Jones,C,Skin1
Ben,Powers,G,Skin1
Billy,Price,C,Skin1
Billy,Price,G,Skin1
Billy,Turner,G,Skin1
Blake,Bell,TE,Skin1
Blake,Cashman,MLB,Skin1
Blake,Jarwin,TE,Skin1
Blake,Martinez,ILB,Skin1
Blake,Martinez,MLB,Skin1
Braden,Smith,G,Skin1
Bradley,Bozeman,C,Skin1
Bradley,Sowell,T,Skin1
Brandon,Fusco,G,Skin1
Brandon,Knight,T,Skin1
Brandon,Linder,C,Skin1
Brandon,Scherff,G,Skin1
Brandon,Zylstra,WR,Skin1
Braxton,Berrios,WR,Skin1
Brendan,Mahon,G,Skin1
Brent,Qvale,T,Skin1
Brent,Urban,DE,Skin1
Brett,Hundley,QB,Skin2
Brett,Hundley,QB,Skin4
Brett,Jones,C,Skin1
Brian,Allen,C,Skin1
Brian,O'Neill,T,Skin1
Brian,Peters,MLB,Skin1
Brian,Schwenke,G,Skin1
Brian,Winters,G,Skin1
Brock,Coyle,MLB,Skin1
Brooks,Reed,DE,Skin1
Brooks,Reed,OLB,Skin1
Bruce,Miller,FB,Skin1
Bryan,Bulaga,T,Skin1
Bryan,Witzmann,G,Skin1
Bryce,Hager,MLB,Skin1
C.J.,Reavis,FS,Skin17
Cam,Newton,QB,Skin3
Cam,Newton,QB,Skin6
Cameron,Brate,TE,Skin1
Cameron,Smith,MLB,Skin1
Cameron,Tom,C,Skin1
Cameron,Tom,C,Skin17
Carl,Nassib,DE,Skin1
Casey,Dunn,C,Skin1
Casey,Kreiter,TE,Skin1
Cassius,Marsh,DE,Skin1
Cethan,Carter,FB,Skin3
Chad,Beebe,WR,Skin1
Chad,Bratzke,DE,Skin1
Chad,Hansen,WR,Skin1
Chad,Kelly,QB,Skin4
Chad,Wheeler,T,Skin1
Chandler,Cox,RB,Skin1
Charley,Hughlett,TE,Skin1
Charlie,Heck,T,Skin17
Chase,Allen,MLB,Skin1
Chase,McLaughlin,K,Skin22
Chase,Roullier,C,Skin1
Chase,Winovich,DE,Skin1
Chris,Conte,SS,Skin1
Chris,Hogan,WR,Skin1
Chris,Jones,DT,Skin1
Chris,Jones,SS,Skin1
Chris,Lindstrom,G,Skin1
Chris,Long,DE,Skin1
Chris,Reed,G,Skin1
Christian,Covington,DE,Skin2
Christian,McCaffrey,RB,Skin1
Christian,Wade,RB,Skin11
Christian,Westerman,G,Skin1
Clark,Harris,TE,Skin1
Clay,Matthews,OLB,Skin1
Clayton,Fejedelem,FS,Skin1
Clayton,Thorson,QB,Skin4
Clint,Boling,G,Skin1
Cody,Barton,OLB,Skin1
Cody,Davis,FS,Skin1
Cody,Whitehair,C,Skin1
Colby,Gossett,G,Skin1
Cole,Beasley,WR,Skin1
Cole,Holcomb,MLB,Skin1
Cole,Kmet,TE,Skin1
Cole,Madison,G,Skin1
Cole,Toner,C,Skin1
Cole,Wick,TE,Skin1
Connor,McGovern,C,Skin1
Connor,McGovern,G,Skin1
Connor,Williams,G,Skin1
Conor,McDermott,T,Skin1
Conor,Sheehy,DE,Skin1
Cooper,Kupp,WR,Skin1
Corey,Levin,C,Skin1
Corey,Linsley,C,Skin1
Cullen,Gillaspia,FB,Skin1
Curtis,Bolton,ILB,Skin17
Curtis,Bolton,ILB,Skin2
D.J.,Humphries,T,Skin1
Daishawn,Dixon,G,Skin1
Dak,Prescott,QB,Skin3
Dak,Prescott,QB,Skin4
Dakota,Dozier,G,Skin1
Dalton,Risner,C,Skin1
Dalton,Schultz,TE,Skin1
Dan,Feeney,G,Skin1
Daniel,Braverman,WR,Skin1
Daniel,Brown,TE,Skin1
Daniel,Brown,TE,Skin17
Daniel,Kilgore,C,Skin1
Daniel,Sorensen,FS,Skin1
Danny,Amendola,WR,Skin1
Danny,Vitale,FB,Skin1
Dante,Pettis,WR,Skin2
David,Andrews,C,Skin1
David,Bakhtiari,T,Skin1
David,DeCastro,G,Skin1
David,Edwards,T,Skin1
David,Mayo,ILB,Skin1
David,Mayo,MLB,Skin1
David,Morgan II,TE,Skin1
David,Quessenberry,T,Skin17
David,Steinmetz,T,Skin1
David,Wells,TE,Skin1
Dawson,Knox,TE,Skin1
Dean,Lowery,DE,Skin1
DeAndrew,White,WR,Skin1
Deiondre',Hall,SS,Skin1
Dennis,Gardeck,OLB,Skin1
Dennis,Kelly,T,Skin1
Derek,Watt,FB,Skin1
Derek,Wolfe,DE,Skin1
Deshaun,Watson,QB,Skin3
Deshaun,Watson,QB,Skin6
DeShone,Kizer,QB,Skin2
DeShone,Kizer,QB,Skin4
Devin,Gray,WR,Skin12
Don,Muhlbach,TE,Skin1
Dontrell,Hilliard,RB,Skin12
Drew,Forbes,G,Skin1
Drew,Sample,TE,Skin1
Drue,Tranquill,MLB,Skin1
Durham,Smythe,TE,Skin1
Dwayne,Haskins Jr,QB,Skin6
Dylan,Cantrell,WR,Skin1
Dylan,Cole,MLB,Skin1
Elliott,Fry,K,Skin2
Eric,Fisher,T,Skin1
Eric,Kush,G,Skin1
Eric,Saubert
Eric,Tomlinson,TE,Skin1
Eric,Weddle,FS,Skin1
Erik,Harris,SS,Skin1
Erik,Magnuson,C,Skin1
Ethan,Pocic,C,Skin1
Ethan,Pocic,G,Skin1
Evan,Baylis,TE,Skin14
Evan,Brown,C,Skin1
Evan,Smith,C,Skin1
Forrest,Lamp,G,Skin1
Foster,Moreau,TE,Skin1
Frank,Ragnow,C,Skin1
Frank,Ragnow,G,Skin1
Garett,Bolles,T,Skin1
Garrett,Bradbury,C,Skin1
Garrett,Sickels,OLB,Skin1
Garrison,Sanborn,TE,Skin1
Gavin,Escobar,TE,Skin2
Geno,Smith,QB,Skin4
Geno,Smith,QB,Skin6
Geoff,Swaim,TE,Skin1
George,Kittle,TE,Skin1
Graham,Glasgow,C,Skin1
Graham,Glasgow,G,Skin1
Greg,Mancz,C,Skin1
Greg,Olsen,TE,Skin1
Greg,Van Roten,G,Skin1
Harold,Morrow,FB,Skin17
Harrison,Bryant,TE,Skin1
Harrison,Phillips,DT,Skin1
Harrison,Smith,FS,Skin1
Hayden,Hurst,TE,Skin1
Henry,Anderson,DE,Skin1
Hercules,Mata'afa,DE,Skin2
Hjalte,Froholdt,G,Skin1
Hunter,Bradley,TE,Skin1
Hunter,Henry,TE,Skin1
Hunter,Renfrow,WR,Skin1
Ike,Boettger,G,Skin1
Isaac,Seumalo,C,Skin1
Isaac,Seumalo,G,Skin1
Ishmael,Hyman,WR,Skin17
J.C.,Hassenauer,C,Skin1
J.C.,Tretter,C,Skin1
J.J.,Arcega-Whiteside,WR,Skin1
J.J.,Dielman,G,Skin1
J.J.,Jansen,TE,Skin1
J.J.,Watt,DE,Skin1
J.R.,Sweezy,G,Skin1
J.T.,Barrett,QB,Skin4
Jace,Sternberger,TE,Skin1
Jack,Cichy,ILB,Skin13
Jack,Conklin,T,Skin1
Jack,Doyle,TE,Skin1
Jacob,Hollister,TE,Skin1
Jacoby,Brissett,QB,Skin3
Jacoby,Brissett,QB,Skin6
Jake,Brendel,C,Skin1
Jake,Brendel,C,Skin17
Jake,Butt,TE,Skin1
Jake,Fisher,T,Skin1
Jake,Kumerow,WR,Skin1
Jake,Matthews,T,Skin1
Jake,McGee,TE,Skin1
Jake,McQuaide,TE,Skin1
Jake,Ryan,MLB,Skin1
Jalen,Hurd,WR,Skin2
Jameis,Winston,QB,Skin3
Jameis,Winston,QB,Skin6
James,Develin,FB,Skin1
James,Hurst,T,Skin1
James,O'Shaughnessy,TE,Skin1
James,Vaughters,OLB,Skin17
Jamil,Demby,G,Skin1
Jared,Norris,MLB,Skin1
Jared,Veldheer,T,Skin1
Jason,Kelce,C,Skin1
Jason,Peters,T,Skin14
Jason,Spriggs,T,Skin1
Jeff,Heath,SS,Skin1
Jeff,Heurman,TE,Skin1
Jeff,Smith,WR,Skin17
Jeremiah,Sirles,G,Skin1
Jeremiah,Trotter,ILB,Skin14
Jeremy,Vujnovich,G,Skin1
Jermaine,Eluemunor,G,Skin1
Jesse,Davis,G,Skin1
Jesse,James,TE,Skin1
Joe,Cardona,TE,Skin1
Joe,Dahl,G,Skin1
Joe,Haeg,T,Skin1
Joe,Ostman,DE,Skin13
Joe,Schobert,ILB,Skin1
Joe,Schobert,MLB,Skin1
Joe,Staley,T,Skin1
Joe,Thuney,G,Skin1
Joe,Walker,ILB,Skin1
Joe,Webb III,QB,Skin4
Joel,Bitonio,G,Skin1
Joel,Bitonio,T,Skin1
Joey,Bosa,DE,Skin1
Joey,Hunt,C,Skin1
John,Cominsky,DE,Skin1
John,Cominsky,DE,Skin17
John,Denny,TE,Skin1
John,Franklin III,WR,Skin14
John,Greco,G,Skin1
John,Hightower,WR,Skin1
John,Miller,G,Skin1
John,Sullivan,C,Skin1
John,Wetzel,T,Skin1
Johnnie,Dixon,WR,Skin17
Jon,Feliciano,G,Skin1
Jon,Hilliman,RB,Skin14
Jon,Weeks,TE,Skin1
Jonah,Williams,T,Skin1
Jonny,Mundt,TE,Skin1
Jordan,Brailford,DE,Skin17
Jordan,Devey,C,Skin1
Jordan,Elliott,DT,Skin19
Jordan,Leggett,TE,Skin13
Jordan,Taylor,WR,Skin1
Jordy,Nelson,WR,Skin1
Joseph,Noteboom,T,Skin2
Josey,Jewell,ILB,Skin1
Josey,Jewell,MLB,Skin1
Josh,Hill,TE,Skin1
Josh,Kline,G,Skin1
Josh,LeRibeus,G,Skin1
Josh,Mauro,DE,Skin1
Josh,Sitton,G,Skin1
Josh,Wells,T,Skin1
Joshua,Dobbs,QB,Skin3
Joshua,Garnett,G,Skin1
Julian,Edelman,WR,Skin1
Justin,Britt,C,Skin1
Justin,McCray,G,Skin1
Justin,Pugh,G,Skin1
Justin,Skule,TE,Skin1
Justin,Watson,WR,Skin1
Ka'imi,Fairbairn,K,Skin2
Kaare,Vedvik,K,Skin5
Kaleb,McGary,T,Skin1
Kamalei,Correa,OLB,Skin1
Kameron,Canday,TE,Skin1
Keith,Smith,FB,Skin1
Kendall,Lamm,T,Skin3
Kenny,Wiggins,G,Skin1
Kevin,McDermott,TE,Skin1
Kevin,Zeitler,G,Skin1
Khalfani,Muhammad,RB,Skin14
Kiko,Alonso,OLB,Skin1
Kolton,Miller,T,Skin1
Kristjan,Sokoli,G,Skin1
Kyle,Fuller,C,Skin17
Kyle,Juszczyk,FB,Skin1
Kyle,Lauletta,QB,Skin20
Kyle,Long,G,Skin1
Kyle,Murphy,T,Skin1
Kyle,Nelson,TE,Skin1
Kyle,Pitts,OLB,Skin1
Kyle,Rudolph,TE,Skin1
Kyler,Fackrell,OLB,Skin1
Kyler,Murray,QB,Skin6
Kylie,Fitts,OLB,Skin1
L.J.,Fort,MLB,Skin1
L.P.,LaDouceur,TE,Skin1
Lamar,Jackson,QB,Skin4
Lamar,Jackson,QB,Skin6
Lane,Johnson,T,Skin1
Lane,Taylor,G,Skin1
Larry,Fitzgerald,WR,Skin11
Laurent,Duvernay-Tardif,G,Skin1
Le'Raven,Clark,T,Skin3
Lee,Smith,TE,Skin1
Leighton,Vander Esch,MLB,Skin1
Leighton,Vander Esch,OLB,Skin1
Leonard,Wester,T,Skin1
Logan,Paulsen,TE,Skin1
Logan,Thomas,TE,Skin1
Lucas,Patrick,G,Skin1
Luke,Rhodes,TE,Skin1
Luke,Stocker,TE,Skin1
Malcom,Brown,DT,Skin17
Malik,Carney,OLB,Skin17
Marcell,Harris,SS,Skin1
Marcus,Mariota,QB,Skin2
Marcus,Mariota,QB,Skin3
Margus,Hunt,DE,Skin1
Mark,Andrews,TE,Skin1
Mark,Glowinski,G,Skin1
Mark,Nzeocha,OLB,Skin2
Marquand,Manuel,SS,Skin12
Marquette,King,P,Skin6
Marshal,Yanda,G,Skin1
Mason,Cole,C,Skin1
Mason,Schreck,TE,Skin1
Matt,Feiler,G,Skin1
Matt,Gono,T,Skin1
Matt,Kalil,T,Skin1
Matt,Lacrosse,TE,Skin1
Matt,Longacre,OLB,Skin1
Matt,Milano,OLB,Skin1
Matt,Paradis,C,Skin1
Matt,Pryor,G,Skin1
Matt,Skura,C,Skin1
Matt,Slauson,G,Skin1
Matt,Tobin,G,Skin1
Matthew,Ioannidis,DE,Skin1
Matthew,Oplinger,OLB,Skin1
Maurkice,Pouncey,C,Skin1
Max,Garcia,G,Skin3
Max,Scharping,T,Skin1
Max,Unger,C,Skin1
Maxx,Crosby,DE,Skin1
Maxx,Williams,TE,Skin1
Michael,Burton,FB,Skin1
Michael,Deiter,G,Skin1
Michael,Jordan,G,Skin18
Michael,Schofield,G,Skin1
Mike,Gesicki,TE,Skin1
Mike,Gisicki,TE,Skin1
Mike,Hull,OLB,Skin1
Mike,Iupati,G,Skin3
Mike,Liedtke,G,Skin1
Mike,McGlinchey,T,Skin1
Mike,Person,G,Skin1
Mike,Remmers,G,Skin1
Mike,Remmers,T,Skin1
Mike,Windt,TE,Skin1
Mitch,Morse,C,Skin1
Mitchell,Lowen,DE,Skin1
Mitchell,Schwartz,T,Skin1
Morgan,Fox,DE,Skin1
Najee,Toran,G,Skin17
Nate,Ebner,SS,Skin1
Nate,Solder,T,Skin1
Nathan,Gerry,OLB,Skin1
Nelson,Spruce,WR,Skin1
Nick,Allegretti,C,Skin1
Nick,Bawden,FB,Skin1
Nick,Bellore,FB,Skin1
Nick,Bosa,DE,Skin1
Nick,Bosa,T,Skin1
Nick,Boyle,TE,Skin1
Nick,DeLuca,ILB,Skin1
Nick,Dzubnar,MLB,Skin1
Nick,Easton,G,Skin1
Nick,Gates,T,Skin1
Nick,Kwiatkoski,ILB,Skin1
Nick,Kwiatkoski,MLB,Skin1
Nick,Martin,C,Skin1
Nick,Sundberg,C,Skin1
Nick,Vannett,TE,Skin1
Nick,Vigil,OLB,Skin1
Noah,Fant,TE,Skin2
Noah,Spence,DE,Skin12
Oday,Aboushi,G,Skin1
P.J.,Hall,DT,Skin1
Parker,Cothren,DT,Skin1
Parker,Ehinger,G,Skin1
Pat,Elflein,C,Skin1
Patrick,DiMarco,FB,Skin1
Patrick,Mahomes,QB,Skin2
Patrick,Omameh,G,Skin17
Patrick,Ricard,FB,Skin1
Patrick,Scales,TE,Skin1
Paul,Adams,T,Skin1
Peter,Kalambayi,ILB,Skin17
Quenton,Nelson,G,Skin1
Quez,Watkins,WR,Skin17
Quincy,Adeboyejo,WR,Skin17
Quinton,Bell,DE,Skin17
R.J.,Prince,T,Skin1
Ray-Ray,McCloud III,WR,Skin1
Raymond,Calais,RB,Skin1
Reggie,Davis,WR,Skin1
Reggie,Ragland,ILB,Skin17
Reid,Ferguson,TE,Skin1
Rex,Burkhead,RB,Skin1
Rhett,Ellison,TE,Skin1
Richie,Incognito,G,Skin1
Rick,Leonard,T,Skin1
Rick,Lovato,TE,Skin1
Rick,Wagner,T,Skin1
Ricky,Ortiz,FB,Skin1
Riley,Bullough,MLB,Skin1
Riley,McCarron,WR,Skin1
Riley,Reiff,T,Skin1
Rob,Gronkowski,TE,Skin1
Rob,Havenstein,T,Skin1
Rob,Johnson,QB,Skin9
Robert,Griffin III,QB,Skin4
Robert,Griffin III,QB,Skin5
Robert,Tonyan,TE,Skin17
Rodger,Saffold III,G,Skin1
Rodney,Hudson,C,Skin1
Ronnie,Stanley,T,Skin3
Roosevelt,Nix,FB,Skin3
Russell,Bodine,C,Skin1
Russell,Wilson,QB,Skin2
Russell,Wilson,QB,Skin4
Ryan,Allen,P,Skin9
Ryan,Connelly,MLB,Skin1
Ryan,Glasgow,DT,Skin1
Ryan,Griffin,TE,Skin1
Ryan,Groy,C,Skin1
Ryan,Groy,C,Skin11
Ryan,Hewitt,FB,Skin1
Ryan,Izzo,TE,Skin1
Ryan,Jensen,C,Skin1
Ryan,Kalil,C,Skin1
Ryan,Kelly,C,Skin1
Ryan,Kerrigan,OLB,Skin1
Ryan,Malleck,TE,Skin1
Ryan,Nall,HB,Skin1
Ryan,Nall,RB,Skin1
Ryan,Ramczyk,T,Skin1
Ryan,Schraeder,T,Skin1
Ryan,Switzer,WR,Skin1
Sam,Eguavoen,OLB,Skin13
Sam,Hubbard,DE,Skin1
Sam,Jones,C,Skin1
Sam,Tevi,T,Skin3
Sam,Young,T,Skin1
Scott,Miller,WR,Skin2
Scott,Quessenberry,C,Skin1
Scott,Quessenberry,G,Skin1
Scott,Simonson,TE,Skin1
Sean,Culkin,TE,Skin1
Sean,Lee,OLB,Skin1
Senio,Kelemete,G,Skin3
Shalom,Luani,SS,Skin2
Shane,Smith,FB,Skin1
Shannon,Sharpe,TE,Skin14
Shawn,Lauvao,G,Skin1
Shy,Tuttle,DT,Skin1
Spencer,Long,C,Skin1
Spencer,Pulley,C,Skin1
Stefen,Wisniewski,G,Skin1
Steven,Means,DE,Skin12
Sutton,Smith,OLB,Skin1
T.J.,Hockenson,TE,Skin1
T.J.,Lang,G,Skin1
T.J.,Watt,OLB,Skin1
Tanner,Hudson,TE,Skin14
Tanner,McEvoy,WR,Skin1
Tanner,Vallejo,ILB,Skin1
Tanner,Vallejo,OLB,Skin1
Tashawn,Bower,OLB,Skin10
Taven,Bryan,DE,Skin1
Taven,Bryan,DT,Skin1
Taylor,Decker,T,Skin1
Taylor,Hearn,G,Skin1
Taylor,Lewan,T,Skin1
Taylor,Rapp,SS,Skin2
Ted,Karras,C,Skin1
Ted,Karras,G,Skin1
Ted,Larsen,G,Skin1
Teddy,Bridgewater,QB,Skin6
Terrance,Smith,,MLB,Skin1
Terrence,Brooks,SS,Skin1
Thomas,Hennessy,TE,Skin1
Tom,Compton,G,Skin1
Tommy,Bohanon,FB,Skin1
Tony,Bergstrom,C,Skin1
Travis,Frederick,C,Skin1
Travis,Kelce,TE,Skin1
Trayveon,Williams,RB,Skin13
Tre,Madden,FB,Skin3
Trent,Murphy,DE,Skin1
Trent,Sherfield,WR,Skin17
Trent,Taylor,WR,Skin1
Trevon,Wesco,TE,Skin1
Trevor,Davis,WR,Skin17
Trey,Edmunds,RB,Skin12
Trey,Hendrickson,DE,Skin1
Trey,Quinn,WR,Skin1
Troy,Apke,FS,Skin1
Troy,Fumagalli,TE,Skin1
Troy,Fumagalli,TE,Skin14
Trysten,Hill,DT,Skin1
Ty,Johnson,RB,Skin17
Ty,Sambrailo,T,Skin2
Ty,Summers,MLB,Skin1
Tyler,Bass,K,Skin4
Tyler,Catalina,G,Skin1
Tyler,Conklin,TE,Skin1
Tyler,Eifert,TE,Skin1
Tyler,Higbee,TE,Skin1
Tyler,Kroft,TE,Skin1
Tyler,Lancaster,DT,Skin1
Tyler,Larsen,C,Skin1
Tyler,Matakevich,ILB,Skin1
Tyler,Matakevich,MLB,Skin1
Tyler,Newsome,P,Skin6
Tyler,Ott,TE,Skin1
Tyler,Shatley,C,Skin1
Tyree,Jackson,QB,Skin2
Tyrell,Crosby,T,Skin3
Tyrie,Cleveland,WR,Skin1
Tyrod,Taylor,QB,Skin5
Vance,McDonald,TE,Skin1
Vernon,Butler Jr,DT,Skin1
Vincent,Taylor,DT,Skin17
Vladimir,Ducasse,G,Skin1
Wes,Martin,G,Skin1
Wes,Schweitzer,G,Skin1
Weston,Richburg,C,Skin1
Will,Clapp,C,Skin1
Will,Compton,ILB,Skin1
Will,Compton,MLB,Skin1
Will,Dissly,TE,Skin1
Will,Harris,SS,Skin13
Will,Hernandez,G,Skin1
Will,House,G,Skin1
Will,Richardson Jr,T,Skin2
Wyatt,Ray,OLB,Skin1
Wyatt,Teller,G,Skin1
Zach,Allen,DE,Skin1
Zach,Banner,T,Skin3
Zach,Ertz,TE,Skin1
Zach,Gentry,TE,Skin1
Zach,Kerr,DT,Skin14
Zach,Line,FB,Skin1
Zach,Sieler,DE,Skin1
Zach,Sterup,T,Skin1
Zach,Vigil,MLB,Skin1
Zach,Wood,TE,Skin1
Zack,Bailey,G,Skin1
Zack,Martin,G,Skin1
Zak,DeOssie,TE,Skin1
