
#Team = 49ers Players:53
#team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,playAction,throwOnTheRun,height,weight,yearsPro,totalSalary,signingBonus,plyrBirthdate,plyrHandedness,college
49ers,Garrett,Celek,TE,88,76,79,85,73,76,70,82,76,30,10,15,10,6,15,15,76,54,35,83,35,80,84,76,64,66,76,63,71,76,68,10,10,50,39,21,15,22,72,74,64,25,25,69,6,10,77,252,6,6700000,2500000,5/29/1988,Right,Michigan St.
49ers,Cole,Wick,TE,89,68,76,86,70,79,49,76,70,20,6,6,6,6,21,19,67,58,37,86,18,87,85,81,67,62,69,68,63,70,63,17,17,34,35,22,14,21,74,76,57,27,17,70,6,6,78,257,2,1050000,0,11/30/1993,Right,Incarnate Word
49ers,Joe,Staley,LT,74,90,74,83,92,74,94,62,61,18,6,6,6,6,20,22,88,88,25,78,10,90,94,86,10,25,10,10,10,10,87,10,10,25,31,10,12,12,30,40,34,15,10,47,6,6,77,315,11,16050000,960000,8/30/1984,Right,Central Michigan
49ers,Shon,Coleman,LT,78,67,66,74,86,67,71,30,33,25,6,6,6,6,24,22,73,73,30,74,10,81,83,87,31,18,20,26,19,21,78,32,20,15,23,10,12,15,12,10,6,44,10,12,6,6,79,310,2,3360000,0,11/25/1991,Right,Auburn
49ers,Mike,McGlinchey,RT,69,78,67,79,87,74,68,28,33,11,6,6,6,6,15,12,86,79,32,71,10,94,86,95,22,11,10,10,10,10,83,10,10,32,27,20,11,13,15,17,11,38,10,14,6,6,80,312,0,18342124,11410000,8/29/1994,Right,Notre Dame
49ers,Garry,Gilliam,RT,76,67,71,84,84,63,71,25,35,23,6,6,6,6,17,18,74,71,38,84,10,84,79,75,15,11,10,10,10,10,78,10,10,23,34,13,12,29,12,10,6,35,10,12,6,6,77,315,4,6250000,1050000,11/26/1990,Right,Penn State
49ers,Laken,Tomlinson,LG,75,72,66,82,87,57,74,20,25,20,6,6,6,6,20,20,78,73,35,81,10,92,77,84,15,10,10,10,10,10,76,10,10,20,35,20,12,15,12,10,6,20,10,12,6,6,75,312,3,13100941,5000000,2/9/1992,Right,Duke
49ers,Mike,Person,LG,68,69,67,80,79,58,66,32,40,11,6,6,6,6,18,18,74,79,30,45,10,90,74,70,10,25,10,10,10,10,74,10,10,28,35,26,12,19,15,15,8,25,10,15,6,6,76,300,7,915000,0,6/17/1988,Right,Montana State
49ers,Joshua,Garnett,RG,65,70,62,77,84,57,76,33,43,21,6,6,6,6,20,20,73,73,38,67,8,90,91,81,31,14,18,16,9,12,83,17,15,28,28,16,12,14,14,13,8,25,9,15,6,6,77,305,2,9300000,4900000,2/21/1994,Right,Stanford
49ers,Matt,Tobin,RG,64,68,74,81,79,62,67,40,40,30,6,6,6,6,21,20,75,71,35,77,10,88,85,79,20,15,15,30,10,14,80,10,10,20,29,15,12,15,35,25,12,20,10,15,6,6,78,303,5,1050000,0,6/5/1990,Right,Iowa
49ers,Weston,Richburg,C,58,81,68,80,89,66,89,30,22,30,6,6,6,6,25,21,76,80,35,75,10,92,88,87,20,12,10,30,10,10,87,10,10,20,30,15,12,15,15,15,8,12,10,15,6,6,75,298,4,38200000,9300000,7/9/1991,Right,Colorado St.
49ers,Arik,Armstead,LE,91,79,69,81,87,74,77,39,46,35,6,6,6,6,30,30,45,45,85,83,10,82,73,83,44,26,20,45,25,15,86,83,71,80,78,77,39,52,15,10,5,77,35,12,6,6,79,292,3,10823177,1350000,11/15/1993,Right,Oregon
49ers,Cassius,Marsh,LE,54,73,82,85,66,75,76,46,55,25,6,6,6,6,20,21,45,45,71,83,10,92,86,85,60,25,45,52,40,45,82,62,77,71,78,76,37,47,30,32,5,83,25,15,6,6,76,245,4,6081250,1600000,7/7/1992,Right,UCLA
49ers,Solomon,Thomas,RE,94,78,83,87,91,80,68,32,40,18,6,6,6,6,16,11,45,45,83,84,10,97,84,88,30,20,18,27,23,32,84,62,74,79,83,68,34,43,25,25,19,81,34,20,6,6,75,280,1,28295000,18710000,12/20/1995,Right,Stanford
49ers,Ronald,Blair III,RE,98,74,77,86,85,75,65,45,43,22,6,6,6,6,20,19,45,46,78,85,9,91,79,88,42,22,39,31,21,28,77,77,62,75,78,65,39,52,17,17,8,81,22,17,6,6,76,270,2,2610000,270000,1/21/1993,Right,Appalach. St.
49ers,Dekoda,Watson,RE,97,71,84,89,65,84,64,57,35,25,6,6,6,6,22,22,45,45,73,88,10,84,89,64,25,45,37,66,10,65,67,65,75,68,79,64,56,63,35,20,8,65,55,30,6,6,74,245,8,3500000,1400000,3/8/1988,Right,Florida State
49ers,DeForest,Buckner,DT,99,86,73,83,86,83,87,40,44,22,6,6,6,6,20,19,45,46,86,84,11,91,92,88,45,28,38,33,23,28,88,79,90,83,84,87,33,42,21,18,7,87,22,17,6,6,79,300,2,18200000,11400000,3/17/1994,Right,Oregon
49ers,Earl,Mitchell,DT,90,74,75,86,85,71,73,42,55,20,6,6,6,6,20,20,45,45,78,82,10,88,80,75,44,30,25,50,20,20,85,82,63,66,75,73,20,29,15,15,8,77,10,15,6,6,75,310,8,11500000,0,9/25/1987,Right,Arizona
49ers,Sheldon,Day,DT,96,72,70,84,80,83,70,34,37,23,6,6,6,6,17,17,45,44,82,77,9,89,82,88,32,18,24,35,17,21,82,78,63,75,77,70,29,45,28,26,7,81,13,15,6,6,73,294,2,2950000,600000,7/1/1994,Right,Notre Dame
49ers,D.J.,Jones,DT,93,71,71,82,89,77,68,38,31,24,6,6,6,6,23,19,45,45,75,71,9,92,82,89,43,24,29,32,17,25,86,75,61,68,76,68,20,27,20,24,10,78,18,14,6,6,72,297,1,2503000,140000,1/19/1995,Right,Ole Miss
49ers,Mark,Nzeocha,LOLB,53,68,84,87,76,84,65,63,58,25,6,6,6,6,20,20,45,45,81,82,10,76,85,74,44,35,39,37,25,35,76,56,65,66,72,65,60,71,40,35,7,69,40,12,6,6,75,239,3,705000,0,1/19/1990,Right,Wyoming
49ers,Malcolm,Smith,ROLB,51,76,85,85,73,82,78,72,40,27,6,6,6,6,20,20,45,45,83,84,11,85,82,75,40,64,39,35,65,60,83,51,62,78,83,78,50,56,35,33,7,77,55,15,6,6,72,225,7,8750000,4200000,7/5/1989,Right,USC
49ers,Elijah,Lee,ROLB,47,68,82,89,69,82,57,61,56,26,6,6,6,6,28,28,45,45,80,90,10,93,87,86,29,35,38,42,30,37,66,53,66,72,76,57,67,67,52,57,14,86,48,16,6,6,74,229,1,555000,0,2/8/1996,Right,Kansas State
49ers,Reuben,Foster,MLB,56,85,86,89,84,85,83,66,55,24,6,6,6,6,14,22,45,45,86,81,10,77,88,89,42,32,25,35,34,40,87,66,57,86,89,83,72,81,29,23,7,91,52,25,6,6,73,228,1,9071000,4730000,4/4/1994,Right,Alabama
49ers,Fred,Warner,MLB,48,71,84,89,74,85,62,71,63,14,6,6,6,6,13,10,45,45,80,91,10,86,89,78,46,41,50,34,41,53,78,52,60,74,83,62,69,75,53,61,8,80,54,20,6,6,76,230,0,3967503,1010000,11/19/1996,Left,BYU
49ers,Brock,Coyle,MLB,50,65,85,89,77,80,69,63,60,27,6,6,6,6,29,19,45,45,79,87,15,93,88,87,42,22,32,45,35,36,81,60,52,66,75,69,49,56,25,35,6,78,43,15,6,6,73,245,4,6300000,2100000,10/12/1990,Right,Montana
49ers,Richard,Sherman,CB,25,90,88,89,79,96,93,81,66,12,6,6,6,6,12,10,35,35,67,98,51,96,99,94,51,74,85,50,75,77,59,35,55,58,84,93,88,92,81,64,30,72,94,48,6,6,75,195,7,16000000,10120000,3/30/1989,Right,Stanford
49ers,Ahkello,Witherspoon,CB,23,76,91,92,56,91,74,64,59,35,6,6,6,6,20,20,35,35,52,94,55,88,91,68,25,53,61,31,66,73,43,26,33,58,81,74,76,76,63,53,18,44,73,24,6,6,75,195,1,3881000,970000,3/21/1995,Right,Colorado
49ers,Jimmie,Ward,CB,20,76,90,91,53,88,75,69,65,28,6,6,6,6,23,19,35,35,71,89,35,80,90,83,61,49,62,47,60,64,54,51,59,54,72,75,73,71,61,55,12,77,82,15,6,6,71,193,4,9216000,870000,7/18/1991,Right,N. Illinois
49ers,K'Waun,Williams,CB,24,75,88,92,48,92,76,66,61,36,6,6,6,6,26,26,35,35,59,88,45,91,92,74,25,72,65,30,70,72,45,30,37,54,78,76,75,78,68,55,23,43,67,39,6,6,69,183,3,6315000,3000000,7/12/1991,Right,Pittsburgh
49ers,Tarvarius,Moore,CB,33,69,94,93,53,86,55,67,63,23,11,15,10,10,11,15,35,35,62,91,55,89,89,81,28,63,59,26,57,67,58,29,36,44,71,55,69,74,63,62,15,82,65,18,15,15,74,190,0,3430520,780000,8/16/1996,Right,Southern Miss
49ers,Greg,Mabin,CB,26,69,88,91,71,84,57,63,61,27,6,6,6,6,18,17,25,25,70,80,63,77,84,82,61,64,60,44,57,66,48,42,47,61,70,57,74,75,62,62,38,68,79,43,6,6,74,200,1,555000,0,6/25/1994,Right,Iowa
49ers,Jaquiski,Tartt,SS,29,84,91,91,65,85,82,64,62,21,6,6,6,6,19,22,35,35,73,83,35,92,85,86,57,42,40,40,49,55,63,44,59,62,79,82,79,84,62,44,13,86,82,25,6,6,73,215,3,9621865,4980000,2/18/1992,Right,Samford
49ers,Antone,Exum Jr,SS,38,66,88,89,62,89,57,65,55,21,6,6,6,6,29,21,35,35,63,83,50,81,88,76,25,70,65,25,70,74,57,39,45,47,68,57,70,68,60,33,13,73,73,12,6,6,72,219,4,985000,0,2/27/1991,Right,Virginia Tech
49ers,Adrian,Colbert,FS,27,79,93,94,61,85,80,66,57,27,6,6,6,6,18,17,35,35,66,81,62,89,88,79,38,64,67,50,62,70,64,26,34,54,77,80,72,76,62,64,23,84,61,22,6,6,74,205,1,2440000,80000,10/6/1993,Right,Miami
49ers,D.J.,Reed Jr,FS,32,68,89,90,48,88,55,70,57,22,10,15,10,5,14,10,35,35,60,87,82,88,85,75,29,75,71,42,70,76,47,29,37,55,74,55,74,77,60,65,15,51,73,14,6,6,69,188,0,2726379,310000,11/11/1996,Right,Kansas State
49ers,Marcell,Harris,FS,49,66,86,89,59,81,55,61,60,35,6,6,6,6,17,14,35,35,72,81,45,82,87,80,38,50,61,47,62,62,63,34,44,53,73,55,65,72,60,54,11,85,70,25,6,6,72,208,0,2581299,160000,6/9/1994,Right,Florida
49ers,Robbie,Gould,K,9,85,59,64,25,52,75,15,40,29,30,35,30,25,94,93,20,16,23,27,10,90,75,65,10,27,10,10,10,10,20,10,10,23,21,19,11,14,12,10,10,12,10,12,20,20,72,190,13,3500000,500000,12/30/1981,Right,Penn State
49ers,Bradley,Pinion,P,5,80,66,64,55,62,65,39,40,52,41,51,42,32,93,87,29,25,29,70,10,92,85,55,15,19,15,10,10,10,22,10,10,19,35,20,15,15,15,15,15,15,10,15,25,24,77,229,3,2000000,360000,6/1/1994,Right,Clemson
#Team = Bears Players:53
#team,firstName,lastName,position,jerseyNum,ovr,speed,acceleration,strength,agility,awareness,catching,carrying,throwPower,throwAccuracy,throwAccuracyShort,throwAccuracyMid,throwAccuracyDeep,kickPower,kickAccuracy,runBlock,passBlock,tackle,jumping,kickReturn,injury,stamina,toughness,trucking,elusiveness,bCVision,stiffArm,spinMove,jukeMove,impactBlocking,powerMoves,finesseMoves,blockShedding,pursuit,playRecognition,manCoverage,zoneCoverage,spectacularCatch,catchInTraffic,routeRunning,hitPower,press,release,playAction,throwOnTheRun,height,weight,yearsPro,totalSalary,signingBonus,plyrBirthdate,plyrHandedness,college
Bears,Mitchell,Trubisky,QB,10,75,83,87,71,83,70,44,62,93,78,83,77,75,31,23,21,18,35,69,10,93,98,88,54,73,79,58,46,73,31,10,10,24,43,18,15,17,29,33,28,32,13,31,77,85,75,220,1,29178000,19360000,8/20/1994,Right,North Carolina
Bears,Chase,Daniel,QB,4,67,75,83,52,73,70,40,72,85,78,85,76,74,12,12,11,14,22,65,10,90,95,89,26,50,75,35,64,68,25,10,10,21,22,25,13,26,12,10,10,12,10,12,70,81,72,225,9,8000000,2000000,10/7/1986,Right,Missouri
Bears,Jordan,Howard,HB,24,86,90,91,83,89,92,67,94,28,18,22,18,16,21,20,40,61,39,86,42,87,88,79,88,76,88,82,75,84,32,11,12,26,31,20,14,19,59,63,53,21,16,58,11,16,73,222,2,2580000,240000,11/2/1994,Right,Indiana
Bears,Tarik,Cohen,HB,29,83,92,92,62,95,73,71,79,49,35,40,36,31,20,22,30,37,26,77,85,86,88,79,65,88,78,63,85,93,33,10,10,22,31,17,20,28,66,69,59,24,20,66,27,39,66,179,1,2993000,630000,7/26/1995,Right,N.C. AT
Bears,Benny,Cunningham,HB,30,70,87,89,77,84,81,65,84,25,28,35,30,20,10,10,45,55,35,84,83,84,90,88,86,54,83,83,77,82,44,10,10,26,35,20,15,15,56,56,50,20,20,59,15,15,70,217,5,900000,150000,7/7/1990,Right,Mid Tenn St.
Bears,Michael,Burton,FB,46,63,81,87,82,73,82,62,70,30,10,15,10,5,14,14,55,69,45,82,35,91,79,75,62,44,66,70,60,62,66,25,30,28,43,15,10,15,58,55,35,60,15,55,5,5,72,247,3,1320000,0,1/1/1992,Right,Rutgers
Bears,Allen,Robinson II,WR,12,87,90,93,67,89,90,89,84,30,10,15,10,6,25,30,57,38,42,92,72,89,91,78,60,75,85,65,72,83,53,10,10,40,44,26,18,24,94,89,85,15,25,91,6,10,75,211,4,34862000,6000000,8/24/1993,Right,Penn State
Bears,Taylor,Gabriel,WR,18,81,94,95,60,94,85,85,73,35,32,35,31,31,22,24,50,32,25,95,82,87,88,55,33,81,85,38,83,89,46,10,10,32,24,17,19,22,83,80,81,15,15,66,25,42,68,167,4,22000000,4000000,2/17/1991,Right,Abilene Chr.
Bears,Anthony,Miller,WR,17,74,89,90,68,93,63,80,74,40,25,30,26,20,19,13,55,29,33,92,77,87,93,81,47,82,86,76,75,83,45,10,10,29,37,19,15,21,86,81,79,20,20,76,15,33,71,190,0,5353769,1970000,10/9/1994,Right,Memphis
Bears,Kevin,White,WR,11,73,93,91,74,88,68,81,69,35,11,15,10,10,20,20,42,44,42,87,62,74,89,82,57,61,82,64,77,76,45,30,25,35,33,32,25,30,82,81,72,33,44,82,15,15,75,216,3,14000000,8000000,6/25/1992,Right,West Virginia
Bears,Josh,Bellamy,WR,15,73,89,89,63,86,80,82,75,40,10,10,10,10,30,22,51,45,39,88,72,92,86,76,49,67,78,58,74,76,47,10,25,39,49,35,61,63,83,78,78,28,48,72,10,10,72,211,6,1907000,0,5/18/1989,Right,Louisville
Bears,Marlon,Brown,WR,81,70,87,88,57,87,66,80,71,35,11,15,10,10,20,20,46,42,45,88,65,75,88,72,45,67,77,72,74,77,55,30,32,53,30,35,32,43,87,85,73,35,40,72,15,15,77,214,5,705000,0,4/22/1991,Right,Georgia
Bears,Javon,Wims,WR,83,69,88,89,66,84,60,83,75,22,16,20,15,15,19,15,56,33,28,82,60,90,89,83,49,74,79,50,74,79,54,10,10,28,34,17,13,18,84,80,73,16,15,70,6,15,76,215,0,2510915,90000,9/11/1994,Right,Georgia
Bears,Trey,Burton,TE,80,84,86,88,64,90,82,85,72,66,48,54,52,39,25,24,60,62,46,81,55,95,90,87,57,79,78,60,80,82,67,10,10,39,51,26,21,26,82,79,75,12,10,68,35,49,75,235,4,24500000,7500000,10/29/1991,Right,Florida
Bears,Zach,Miller,TE,86,81,80,84,73,81,75,86,77,70,60,63,61,57,20,20,77,59,25,84,30,80,78,80,65,69,76,55,75,77,63,10,10,40,40,20,15,20,76,77,72,15,15,73,44,72,77,243,7,458000,0,10/4/1984,Right,Nebr.-Omaha
Bears,Dion,Sims,TE,88,77,79,87,76,75,82,82,75,35,10,10,10,10,25,25,53,71,44,87,20,79,86,74,81,49,75,69,72,66,72,10,10,45,35,10,12,18,80,81,63,30,25,72,10,10,76,271,5,12000000,4000000,2/18/1991,Right,Michigan St.
Bears,Adam,Shaheen,TE,87,76,81,84,76,78,73,82,74,25,10,15,10,6,29,19,63,57,32,79,10,88,86,81,75,69,79,76,63,75,70,10,10,31,37,14,14,24,76,78,65,37,25,60,6,10,78,277,1,5928000,2450000,10/24/1994,Right,Ashland
Bears,Charles,Leno Jr,LT,72,79,64,79,81,64,85,25,24,10,6,6,6,6,11,15,86,80,35,72,10,90,84,75,25,24,10,10,10,10,83,30,30,25,29,26,12,9,45,52,23,20,10,35,6,6,75,305,4,33897000,4500000,10/9/1991,Right,Boise State
Bears,Bradley,Sowell,LT,79,67,63,74,83,62,75,40,35,16,6,6,6,6,21,11,72,71,40,78,10,91,83,66,21,10,10,10,10,10,76,40,30,40,35,24,12,12,25,30,12,35,10,35,6,6,79,309,6,4500000,0,6/6/1989,Right,Ole Miss
Bears,Bobby,Massie,RT,70,71,64,77,83,66,78,40,40,10,6,6,6,6,8,7,74,75,30,76,10,90,82,91,42,21,25,10,10,10,81,10,10,17,21,24,16,12,12,10,6,22,10,12,6,6,78,320,6,18000000,1500000,8/1/1989,Right,Ole Miss
Bears,Rashaad,Coward,RT,69,62,67,79,86,62,52,48,62,36,6,6,6,6,20,20,69,69,78,66,10,89,81,86,64,33,52,62,33,42,74,73,58,75,74,56,30,37,49,46,36,80,24,33,6,6,77,320,1,1020000,0,11/6/1994,Right,Old Dominion
Bears,James,Daniels,LG,68,76,61,75,83,73,70,20,28,26,6,6,6,6,15,14,79,79,28,75,10,86,86,82,21,10,15,10,10,10,84,10,10,26,28,10,12,12,12,15,6,29,10,12,6,6,76,295,0,6950270,3130000,9/13/1997,Right,Iowa
Bears,Eric,Kush,LG,64,66,69,82,79,69,64,40,40,22,6,6,6,6,18,22,73,71,55,76,10,87,82,85,15,11,10,10,10,10,78,45,35,60,58,40,25,35,15,15,8,55,10,15,6,6,76,313,5,1240000,500000,9/9/1989,Right,California
Bears,Kyle,Long,RG,75,79,73,84,84,69,85,40,45,67,6,6,6,6,14,14,81,78,55,70,15,88,90,97,35,10,25,39,25,22,85,68,45,65,53,39,15,20,12,10,6,62,10,15,6,6,78,320,5,34800000,8600000,12/5/1988,Left,Oregon
Bears,Cody,Whitehair,C,65,81,72,82,87,63,85,24,33,21,6,6,6,6,20,20,87,76,31,64,8,90,88,89,28,12,14,18,9,12,86,18,16,32,28,16,12,14,14,13,8,48,9,15,6,6,75,310,2,4200000,1200000,7/11/1992,Right,Kansas State
Bears,Akiem,Hicks,LE,96,88,64,81,93,68,94,30,35,26,6,6,6,6,25,25,45,45,85,81,10,93,95,73,20,10,15,35,10,10,89,83,69,89,86,94,24,29,15,15,9,80,15,15,6,6,77,336,6,45100000,7500000,11/16/1989,Right,Regina
Bears,Bilal,Nichols,LE,98,67,74,83,87,62,55,39,42,23,6,6,6,6,17,10,45,45,78,75,10,88,80,87,54,31,46,47,31,37,79,73,57,75,76,55,20,28,24,29,31,76,11,40,6,6,76,306,0,2714489,290000,9/14/1996,Right,Delaware
Bears,Jonathan,Bullard,RE,90,74,75,86,80,76,69,36,26,22,6,6,6,6,21,19,44,44,82,84,9,89,82,87,38,22,28,31,25,29,84,75,61,80,77,69,22,29,20,17,7,80,22,17,6,6,74,290,2,3410000,820000,10/22/1993,Right,Florida
Bears,Nick,Williams,RE,97,71,73,87,83,73,64,23,40,19,6,6,6,6,15,11,45,45,77,81,10,93,73,76,24,10,10,10,10,10,81,76,52,79,76,64,23,40,12,10,10,76,10,12,6,6,76,309,5,705000,0,2/21/1990,Right,Samford
Bears,Roy,Robertson-Harris,RE,95,69,78,81,80,69,62,40,20,35,6,6,6,6,30,30,45,45,80,83,10,87,82,85,46,26,25,55,25,25,67,69,75,68,75,62,35,45,15,10,5,76,30,12,6,6,79,294,2,1620000,0,7/23/1993,Right,UTEP
Bears,Eddie,Goldman,DT,91,78,64,75,88,58,80,25,40,21,6,6,6,6,24,18,45,45,87,74,10,85,82,84,25,11,10,10,10,10,86,80,61,74,81,80,21,28,15,15,8,85,16,15,6,6,76,320,3,5000000,2000000,1/6/1994,Right,Florida State
Bears,Khalil,Mack,LOLB,52,95,87,89,89,88,97,62,60,32,6,6,6,6,24,22,45,45,92,94,10,97,95,92,55,46,55,49,60,55,88,92,88,92,93,97,46,58,52,54,8,86,45,25,6,6,75,252,4,120846000,34000000,2/22/1991,Right,Buffalo
Bears,Aaron,Lynch,LOLB,99,76,82,88,76,74,74,50,45,10,6,6,6,6,25,21,45,45,78,76,10,88,79,69,40,15,29,35,34,33,74,82,70,83,84,74,49,60,25,21,9,74,45,12,6,6,78,270,4,2468000,1250000,3/8/1993,Right,USF
Bears,Sam,Acho,LOLB,93,73,81,85,71,74,75,53,40,14,6,6,6,6,13,20,45,45,83,75,10,88,86,82,40,25,35,22,45,25,70,78,62,72,79,75,49,60,15,15,9,79,38,37,6,6,75,260,7,5000000,500000,9/6/1988,Right,Texas
Bears,Kylie,Fitts,LOLB,49,67,83,88,83,81,52,47,50,14,6,6,6,6,16,11,45,45,78,79,10,84,86,90,30,30,32,35,25,42,75,63,74,76,78,52,41,51,25,25,8,77,27,15,6,6,76,260,0,2587205,170000,10/11/1994,Right,Utah
Bears,Leonard,Floyd,ROLB,94,79,86,88,75,86,74,49,41,22,6,6,6,6,21,19,45,45,83,92,12,86,86,83,27,36,41,28,33,41,76,70,82,79,84,74,56,60,26,27,8,77,44,18,6,6,78,251,2,15700000,9600000,9/8/1992,Right,Georgia
Bears,Isaiah,Irving,ROLB,47,67,77,84,73,82,55,44,31,22,6,6,6,6,20,19,45,45,79,86,9,87,81,82,29,31,28,27,31,38,66,57,75,69,76,55,59,70,17,17,8,76,41,17,6,6,74,254,1,555000,0,6/9/1994,Right,San Jose St.
Bears,Danny,Trevathan,MLB,59,84,80,86,67,80,89,73,45,20,6,6,6,6,37,30,45,45,92,82,10,85,92,87,28,15,28,40,24,40,83,64,52,70,83,89,73,86,20,15,8,82,40,35,6,6,73,239,6,24500000,9000000,3/24/1990,Right,Kentucky
Bears,Roquan,Smith,MLB,58,81,89,91,80,88,69,61,54,25,8,10,8,6,14,22,45,45,88,81,10,93,94,95,39,33,31,35,31,42,86,70,62,75,89,69,75,80,29,33,12,87,56,22,10,13,73,225,0,18477574,11510000,5/27/1997,Right,Georgia
Bears,Nick,Kwiatkoski,MLB,44,78,81,87,78,87,74,58,42,25,6,6,6,6,22,29,45,45,85,83,12,90,85,84,31,26,37,33,26,36,82,64,56,81,86,74,70,78,20,24,8,79,37,15,6,6,74,242,2,2870000,570000,5/26/1993,Right,West Virginia
Bears,Joel,Iyiegbuniwe,MLB,57,68,85,88,66,80,59,47,64,24,6,6,6,6,14,12,45,45,81,84,10,81,88,87,42,48,59,35,45,57,71,55,63,78,83,59,65,72,29,36,24,84,45,25,6,6,73,230,0,3093592,670000,10/12/1995,Right,W. Kentucky
